Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-09-19,241.23,246.3,240.21,245.5,163470300,0.0,0.0
2025-09-18,239.97,241.2,236.65,237.88,44249600,0.0,0.0
2025-09-17,238.97,240.1,237.73,238.99,46508000,0.0,0.0
2025-09-16,237.18,241.22,236.32,238.15,63421100,0.0,0.0
2025-09-15,237.0,238.19,235.03,236.7,42699500,0.0,0.0
2025-09-12,229.22,234.51,229.02,234.07,55824200,0.0,0.0
2025-09-11,226.88,230.45,226.65,230.03,50208600,0.0,0.0
2025-09-10,232.19,232.42,225.95,226.79,83440800,0.0,0.0
2025-09-09,237.0,238.78,233.36,234.35,66313900,0.0,0.0
2025-09-08,239.3,240.15,236.34,237.88,48999500,0.0,0.0
2025-09-05,240.0,241.32,238.49,239.69,54870400,0.0,0.0
2025-09-04,238.45,239.9,236.74,239.78,47549400,0.0,0.0
2025-09-03,237.21,238.85,234.36,238.47,66427800,0.0,0.0
2025-09-02,229.25,230.85,226.97,229.72,44075600,0.0,0.0
2025-08-29,232.51,233.38,231.37,232.14,39418400,0.0,0.0
2025-08-28,230.82,233.41,229.34,232.56,38074700,0.0,0.0
2025-08-27,228.61,230.9,228.26,230.49,31259500,0.0,0.0
2025-08-26,226.87,229.49,224.69,229.31,54575100,0.0,0.0
2025-08-25,226.48,229.3,226.23,227.16,30983100,0.0,0.0
2025-08-22,226.17,229.09,225.41,227.76,42477800,0.0,0.0
2025-08-21,226.27,226.52,223.78,224.9,30621200,0.0,0.0
2025-08-20,229.98,230.47,225.77,226.01,42263900,0.0,0.0
2025-08-19,231.28,232.87,229.35,230.56,39402600,0.0,0.0
2025-08-18,231.7,233.12,230.11,230.89,37476200,0.0,0.0
2025-08-15,234.0,234.28,229.34,231.59,56038700,0.0,0.0
2025-08-14,234.06,235.12,230.85,232.78,51916300,0.0,0.0
2025-08-13,231.07,235.0,230.43,233.33,69878500,0.0,0.0
2025-08-12,228.01,230.8,227.07,229.65,55626200,0.0,0.0
2025-08-11,227.92,229.56,224.76,227.18,61806100,0.26,0.0
2025-08-08,220.58,230.74,219.0,229.09,113854000,0.0,0.0
2025-08-07,218.63,220.6,216.33,219.78,90224800,0.0,0.0
2025-08-06,205.4,215.14,205.36,213.01,108483100,0.0,0.0
2025-08-05,203.17,205.11,201.93,202.69,44155100,0.0,0.0
